,acy,sem,cos_id,cos_code,num_limit,dep_limit,URL,cos_cname,cos_credit,cos_hours,TURL,teacher,cos_time,memo,cos_ename,brief,degree,dep_id,dep_primary,dep_cname,dep_ename,cos_type,cos_type_e,crsoutline_type,reg_num,depType
1131_110023,113,1,110023,MDMD10100,150,*,,計算機概論,2.00,2.00,,潘美連,M34-YX216[YM],限醫學系學生修課,Introduction to Computer Science,,1,101,1,醫學系,School of Medicine,必修,Required,data,119,U
1131_110031,113,1,110031,MDMD10147,155,*,,生物學,3.00,3.00,,羅清維、陳燕彰、李曉暉、可文亞、陳儀聰、陳妤,M234-YX406[YM],他系同學選修須經授課教師同意。,Biology,,1,P07,1,生物科技管理學程,Biotechnology Management Program,選修,Elective,data,78,P
1131_110059,113,1,110059,MDMD20261,9999,*,,麻醉學,1.00,1.00,,丁乾坤、林祐霆、朱雅淳、曹正明、鄒美勇、何照明、張光宜、楊舜欽、宋俊松、林素滿、鄒樂起、林世斌、王審之、郭怡敏、王馨苡、吳襄齡、鄧惟濃、柯惠瑄、張文貴、劉靖揚,M1234-YT003[YM],請依醫學系課表上課,Anesthesiology,,1,101,1,醫學系,School of Medicine,必修,Required,data,145,U
1131_110076,113,1,110076,MDMD10013,9999,*,,大體解剖學,2.00,2.00,,鄭瓊娟、傅毓秀、李學德、蔡佩君、郭曉縈、侯珮珊、周昆達、吳宏達、熊偉、陳威志,M1234T12345678W1234R12345678F1234-YT001[YM],"限醫三牙二, 請參照PBL整合課程行事曆",Gross Anatomy,,1,101,1,醫學系,School of Medicine,必修,Required,data,186,U
1131_110078,113,1,110078,MDMD10085,9999,*,,組織學,1.00,1.00,,鄭瓊娟、葉添順、李學德、王先逸、郭曉縈、蔣偉程,M1234T12345678W1234R12345678F1234-YT001[YM],"限醫三牙二, 請參照PBL整合課程行事曆",Histology,,1,101,1,醫學系,School of Medicine,必修,Required,data,186,U
1131_110079,113,1,110079,MDMD10087,9999,*,,組織學實驗,.50,1.00,,鄭瓊娟、葉添順、李學德、王先逸、郭曉縈、蔣偉程,M1234T12345678W1234R12345678F1234-YT001[YM],"限醫三牙二, 請參照PBL整合課程行事曆",Lab. in Histology,,1,101,1,醫學系,School of Medicine,必修,Required,data,192,U
1131_110081,113,1,110081,MDMD10089,9999,*,,胚胎學,.60,.60,,鄭瓊娟、李學德、王先逸,M1234T12345678W1234R12345678F1234-YT001[YM],"限醫三牙二, 請參照PBL整合課程行事曆",Embryology,,1,101,1,醫學系,School of Medicine,必修,Required,data,187,U
1131_110090,113,1,110090,MDMD20082,9999,*,,循環學,1.50,1.50,,余文鍾、胡瑜峰、黃金洲、黃柏勳、林彥璋、羅力瑋、鄭浩民、宋思賢、陳嬰華、盧澤民、許喬博、吳道正、許百豐、鐘法博、林晉宇、段大全、黃少嵩、吳承學、張俊欽、黃偉銘、李秋陽、李星原,M12345678T34W123478R1234F12345678-YT002[YM],"限醫學系四年級, 請參照PBL整合課程行事曆",Circulation,,1,101,1,醫學系,School of Medicine,必修,Required,data,138,U
1131_110091,113,1,110091,MDMD20032,9999,*,,呼吸學,1.50,1.50,,陽光耀、許瀚水、陳育民、彭殿王、謝致政、周昆達、潘聖衛、趙恆勝、周中偉、林芳綺、蘇剛正、劉鎮旗、江起陸、余文光、陳燕溫、馮嘉毅、徐博奎、黃建勝、羅永鴻,M12345678T34W123478R1234F12345678-YT002[YM],"限醫學系四年級, 請參照PBL整合課程行事曆",Diseases of the Respiratory System,,1,101,1,醫學系,School of Medicine,必修,Required,data,138,U
1131_110092,113,1,110092,MDMD20121,9999,*,,新陳代謝及內分泌學,1.40,1.40,,胡啟民、陳涵栩、李奕德、王俊興、林時逸、郭錦松、黃加璋、沈宜靜、李佳霖、林冠宏、林道承、王繁棻、吳崇暉、林亮羽,M12345678T34W123478R1234F12345678-YT002[YM],"限醫學系四年級, 請參照PBL整合課程行事曆",Metabolism and Endocrinology,,1,101,1,醫學系,School of Medicine,必修,Required,data,138,U
1131_110093,113,1,110093,MDMD20159,9999,*,,消化學,1.50,1.50,,羅景全、盧俊良、許瀚水、黃怡翔、李懿宬、李重賓、黃惠君、方文良、李癸汌、王心儀、藍耿欣、朱啟仁、王彥博、李沛璋、謝昀蓁、周書正、葉勇呈,M12345678T34W123478R1234F12345678-YT002[YM],"限醫學系四年級, 請參照PBL整合課程行事曆",Gastroenterology,,1,101,1,醫學系,School of Medicine,必修,Required,data,138,U
1131_110094,113,1,110094,MDMD20186,9999,*,,神經學,1.50,1.50,,紀乃方、王署君、楊懷哲、李宜中、傅中玲、黃文成、吳昭慶、廖翊筑、尤香玉、王嚴鋒、梁仁峯、劉祐岑、杜宗熹、李政家、賴冠霖、周建成、費立宇、林浚仁、蕭丞宗、張軒侃、郭昭宏、蔣漢琳,M12345678T34W123478R1234F12345678-YT002[YM],"限醫學系四年級, 請參照PBL整合課程行事曆",Neurology,,1,101,1,醫學系,School of Medicine,必修,Required,data,138,U
1131_110095,113,1,110095,MDMD20193,9999,*,,精神科學,1.60,1.60,,白雅美、藍祚鴻、陳牧宏、李正達、蘇東平、周元華、洪成志、楊凱鈞、林韋丞、劉英杰、徐如維、胡力予、蔡佳芬、沈正哲、劉慕恩、鄭佳洵、鄭智銘、陳麗淇,M12345678T34W123478R1234F12345678-YT002[YM],"限醫學系四年級, 請參照PBL整合課程行事曆",Psychiatry,,1,101,1,醫學系,School of Medicine,必修,Required,data,138,U
1131_110096,113,1,110096,MDMD20204,9999,*,,耳鼻喉科學,1.60,1.60,,戴世光、鄭彥甫、藍敏瑛、廖文輝、王懋哲、許彥彬、趙勻廷、黃毓雯、李宗倫、張嘉帆、丁冠中、陳志昊、葉建甫,M12345678T34W123478R1234F12345678-YT002[YM],"限醫學系四年級, 請參照PBL整合課程行事曆",Otolaryngology,,1,101,1,醫學系,School of Medicine,必修,Required,data,136,U
1131_110097,113,1,110097,MDMD20166,9999,*,,皮膚科學,1.00,1.00,,陳志強、洪千惠、吳貞宜、李定達、朱思穎、何翊芯、馬聖翔、李政源,M12345678T34W123478R1234F12345678-YT002[YM],"限醫學系四年級, 請參照PBL整合課程行事曆",Dermatology,,1,101,1,醫學系,School of Medicine,必修,Required,data,135,U
1131_110098,113,1,110098,MDMD20111,9999,*,,放射治療學,.30,.30,,劉裕明、王令瑋、胡育文、康鈺玫、藍天立,M12345678T34W123478R1234F12345678-YT002[YM],"限醫學系四年級, 請參照PBL整合課程行事曆",Radiation Therapy,,1,101,1,醫學系,School of Medicine,必修,Required,data,138,U
1131_110099,113,1,110099,MDMD20076,9999,*,,影像診斷學,1.30,1.30,,凌憬峰、吳銘庭、周宜宏、邱宏仁、陳俊谷、邱乃祈、柳建安、吳慶蘭,M12345678T34W123478R1234F12345678-YT002[YM],"限醫學系四年級, 請參照PBL整合課程行事曆",Imaging Diagnosis,,1,101,1,醫學系,School of Medicine,必修,Required,data,138,U
1131_110100,113,1,110100,MDMD20129,9999,*,,核子醫學,.40,.40,,彭南靖、王昱豐、胡蓮欣、林可瀚、李哲皓、姚珊汎,M12345678T34W123478R1234F12345678-YT002[YM],"限醫學系四年級, 請參照PBL整合課程行事曆",Nuclear Medicine,,1,101,1,醫學系,School of Medicine,必修,Required,data,138,U
1131_110101,113,1,110101,MDMD20077,9999,*,,復健醫學,.40,.40,,高崇蘭、楊翠芬、張誌剛、蔡昀岸、李思慧、邱然偉、劉鼎浩,M12345678T34W123478R1234F12345678-YT002[YM],"限醫學系四年級, 請參照PBL整合課程行事曆",Physical Medicine & Rehabilitation,,1,101,1,醫學系,School of Medicine,必修,Required,data,138,U
